timestamp,cpu_load_pct,cpu_temp_c,gpu_temp_c,memory_pct,power_watts,workload_state,throttle_flag,overheat_risk
2025-01-01 00:00:00,1.67,32.52,29.64,28.3,2.76,idle,0,0
2025-01-01 00:00:01,1.1,31.88,29.97,30.46,2.86,idle,0,0
2025-01-01 00:00:02,3.25,33.39,30.76,32.69,2.3,idle,0,0
2025-01-01 00:00:03,7.54,33.72,30.31,36.02,2.68,idle,0,0
2025-01-01 00:00:04,11.47,33.78,31.33,38.74,4.02,idle,0,0
2025-01-01 00:00:05,10.86,34.67,31.58,36.38,3.22,idle,0,0
2025-01-01 00:00:06,9.63,35.47,31.27,36.24,3.62,idle,0,0
2025-01-01 00:00:07,12.45,36.45,31.53,34.85,3.44,idle,0,0
2025-01-01 00:00:08,9.94,36.47,31.72,32.4,3.56,idle,0,0
2025-01-01 00:00:09,10.24,36.72,32.23,34.62,3.46,idle,0,0
2025-01-01 00:00:10,12.26,37.3,32.72,35.42,3.79,idle,0,0
2025-01-01 00:00:11,11.47,37.59,32.47,37.78,3.78,idle,0,0
2025-01-01 00:00:12,10.84,38.04,32.7,36.87,3.54,idle,0,0
2025-01-01 00:00:13,11.75,37.3,33.04,36.28,3.23,idle,0,0
2025-01-01 00:00:14,11.17,38.28,33.21,34.67,3.33,idle,0,0
2025-01-01 00:00:15,13.93,38.54,33.15,31.87,3.03,idle,0,0
2025-01-01 00:00:16,10.85,38.5,34.22,31.99,3.4,idle,0,0
2025-01-01 00:00:17,10.57,39.0,34.08,32.5,2.97,idle,0,0
2025-01-01 00:00:18,11.12,39.58,34.36,35.25,3.57,idle,0,0
2025-01-01 00:00:19,11.17,38.99,34.56,37.82,3.59,idle,0,0
2025-01-01 00:00:20,12.38,39.31,34.18,37.77,3.8,idle,0,0
2025-01-01 00:00:21,9.27,39.77,35.11,37.42,3.14,idle,0,0
2025-01-01 00:00:22,12.18,39.27,34.43,34.8,3.16,idle,0,0
2025-01-01 00:00:23,11.01,38.91,35.32,38.12,3.96,idle,0,0
2025-01-01 00:00:24,12.6,39.58,35.49,33.97,3.09,idle,0,0
2025-01-01 00:00:25,11.61,38.5,35.22,37.54,4.12,idle,0,0
2025-01-01 00:00:26,12.29,38.51,35.63,32.48,3.22,idle,0,0
2025-01-01 00:00:27,11.19,39.6,36.63,33.48,3.23,idle,0,0
